Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
上海地区待确认,China,11/02/2020 14:22,0,0,1,2020-02-11 14:22:13,31.22222,121.45806
福建福州,China,11/02/2020 14:22,63,12,0,2020-02-11 14:22:13,26.0774954,119.29182150000001
福建莆田,China,11/02/2020 14:22,51,2,0,2020-02-11 14:22:13,25.4342199,119.0074625
福建泉州,China,11/02/2020 14:22,43,11,0,2020-02-11 14:22:13,24.903880100000002,118.58514579999999
福建厦门,China,11/02/2020 14:22,31,3,0,2020-02-11 14:22:13,24.4758496,118.0746834
福建宁德,China,11/02/2020 14:22,24,1,0,2020-02-11 14:22:13,26.665569899999998,119.5224895
福建南平,China,11/02/2020 14:22,19,2,0,2020-02-11 14:22:13,26.6417374,118.173639
福建漳州,China,11/02/2020 14:22,17,3,0,2020-02-11 14:22:13,24.5081859,117.6496027
福建三明,China,11/02/2020 14:22,13,1,0,2020-02-11 14:22:13,26.2367951,117.60384909999999
福建龙岩,China,11/02/2020 14:22,6,1,0,2020-02-11 14:22:13,25.0974393,117.0151162
福建地区待确认,China,11/02/2020 14:22,0,3,0,2020-02-11 14:22:13,26.25,118.0
河北沧州,China,11/02/2020 14:22,32,10,1,2020-02-11 14:22:13,38.3042796,116.85115970000001
河北唐山,China,11/02/2020 14:22,31,2,0,2020-02-11 14:22:13,39.63333,118.18333
河北保定,China,11/02/2020 14:22,30,9,0,2020-02-11 14:22:13,38.8579735,115.490696
河北邯郸,China,11/02/2020 14:22,27,3,0,2020-02-11 14:22:13,36.583333,114.483333
河北石家庄,China,11/02/2020 14:22,27,3,0,2020-02-11 14:22:13,38.04,114.47
河北廊坊,China,11/02/2020 14:22,26,5,0,2020-02-11 14:22:13,39.5128345,116.6997446
河北邢台,China,11/02/2020 14:22,21,4,1,2020-02-11 14:22:13,37.05,114.5
河北张家口,China,11/02/2020 14:22,21,2,0,2020-02-11 14:22:13,40.8228016,114.880567
河北秦皇岛,China,11/02/2020 14:22,9,0,0,2020-02-11 14:22:13,40.0170867,119.35508159999999
河北衡水,China,11/02/2020 14:22,8,2,0,2020-02-11 14:22:13,37.73222,115.70111000000001
